recruitId,recruitName,recruitTag
300032,Java开发工程师,2年及以上|本科|五险一金|餐饮补贴|通讯补贴|绩效奖金|年终奖金|定期体检
300033,Java开发工程师,3-4年|本科|java|数据库|spring|mybatis|dubbo|linux|微服务|redis|五险一金|绩效奖金|年终奖金|定期体检
300034,Java开发工程师,2-3年|大专|java|五险一金|补充医疗保险|补充公积金
300035,Java开发工程师,2年及以上|本科|五险一金|补充医疗保险|补充公积金|专业培训|定期体检|年终奖金|员工旅游
300036,Java开发工程师,2年及以上|本科|java|开发工程师|软件工程师|五险一金|员工旅游|绩效奖金|周末双休|加班补贴|带薪年假|节日福利|人才公寓宿舍
300037,Java开发工程师,3年及以上|本科|java|mysql|oracle|springboot|html|需求分析|redis|sql|vue|sqlserver|五险一金
300038,高级软件工程师Java,4年及以上|本科|计算机|java|mysql|数据库|spring|jquery|springmvc|javascript|sqlserver|解决方案|五险一金|专业培训|绩效奖金|年终奖金|定期体检|餐饮补贴|免费班车|提供住宿|双休|驻外补贴
300039,Java开发,3-4年|大专|五险一金|补充医疗保险|员工旅游|专业培训|年终奖金|绩效奖金|弹性工作|定期体检
300040,Java开发工程师,2年及以上|本科|五险一金|补充医疗保险|补充公积金|专业培训|定期体检|年终奖金|员工旅游
300041,中级Java工程师,3年及以上|大专|交通补贴|餐饮补贴|通讯补贴
300042,Java后端开发工程师,3年及以上|本科|专业培训|产品激励奖金
300043,Java开发工程师,1年及以上|本科
300044,JAVA开发工程师,3年及以上|本科|专业培训|定期体检|五险一金|员工旅游|股票期权|定期体检|绩效奖金|带薪年假
300045,java工程师,3-4年|本科|java|软件开发|软件工程师|软件|工程师|开发工程师|java开发|节日福利|周末双休|绩效奖金|五险一金|年终奖金|项目绩效
300046,中级Java工程师,3年及以上|本科|五险一金|交通补贴|餐饮补贴|免费班车|年终奖金|专业培训
300047,Java开发工程师,4年及以上|本科|java|软件开发|java开发|五险一金|年终奖金|定期体检|周末双休
